Catalog,A.,D.,E.,Type Eng.,Type Ar.,Brand,Model Eng.,Group No.,Grpoup name Eng.,Grpoup name Ar.,Subgroup,Drawing No.,Drawing name Eng.,Drawing  name Ar.,Pos. No.,Producer ID,Q-ty on the drawing,Name Eng.,Name Ar.,OUR ID,Has photo,In stock,Is speial,Price,Special price
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,,240-1001000-А,1,Front support installation,تركيب الداعم الامامى,0000000001,0,0,0,0,0
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,,240-1001010-А,1,Engine front support,الداعم الامامى للمحرك,0000000002,0,0,0,0,0
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,1,240-1001015-А1,1,Front engine support,الداعم الامامى للمحرك,0000000003,0,0,0,0,0
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,2,240-1001025,1,Cushion with arrester,ملطف حركة مع صاعق,0000000004,0,0,0,0,0
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,3,М8-6gХ16,1,Bolt,مسمار,0000000005,0,0,0,0,0
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,4,8 65G 06,4,Washer,وردة,0000000006,0,0,0,0,0
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,5,М10-6gХ30,4,Bolt,مسمار,0000000007,0,0,0,0,0
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,6,10 65G 06,2,Washer,وردة,0000000008,0,0,0,0,0
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,,240-1002000-B-106,2,Cylinder block,جسم المحرك,0000000009,0,0,0,-1,0
2.1.1.10.1,2.,1.,1.,Parts,قطع غيار ,MTW,"BELARUS90,92",10,Diesel mechanisms,آليات الديزل ( مكونات الموتور  ),"1001, 1002, 3802",1,Drive and counter installation,تركيب العدادات والدركسيون,,50-1002040-V,1,Oil crankcase support,داعم لعلبه زيت الموتور,0000000010,0,0,0,0,0
