Catalog,A.,D.,E.,Type Eng.,Type Ar.,Brand,Name Eng.,Name Ar.,OUR ID,Has photo,In stock,Is speial,Price,Special price
1.1.1,1.,1.,1,Equipment,معدات ,MTW,BELARUS-90,BELARUS-90,EM00000001,0,0,0,0,0
1.1.2,1.,1.,2,Equipment,معدات ,MTW,BELARUS-92,BELARUS-92,EM00000002,0,0,0,0,0
1.1.3,1.,1.,3,Equipment,معدات ,MTW,BELARUS-92S,BELARUS-92S,EM00000003,0,0,0,0,0
1.1.4,1.,1.,4,Equipment,معدات ,MTW,BELARUS-92SL,BELARUS-92SL,EM00000004,0,0,0,0,0
1.1.5,1.,1.,5,Equipment,معدات ,MTW,BELARUS-320R,BELARUS-320R,EM00000005,0,0,0,0,0
1.1.6,1.,1.,6,Equipment,معدات ,MTW,BELARUS-321,BELARUS-321,EM00000006,0,0,0,0,0
1.1.7,1.,1.,7,Equipment,معدات ,MTW,BELARUS-1025.2,BELARUS-1025.2,EM00000007,0,0,0,0,0
1.1.8,1.,1.,8,Equipment,معدات ,MTW,BELARUS-1221T.2,BELARUS-1221T.2,EM00000008,0,0,0,0,0
1.1.9,1.,1.,9,Equipment,معدات ,MTW,BELARUS-1221.2,BELARUS-1221.2,EM00000009,0,0,0,0,0
1.1.10,1.,1.,10,Equipment,معدات ,MTW,BELARUS-1523,BELARUS-1523,EM00000010,0,0,0,0,0
1.1.11,1.,1.,11,Equipment,معدات ,MTW,BELARUS-1822.3,BELARUS-1822.3,EM00000011,0,0,0,0,0
1.1.12,1.,1.,12,Equipment,معدات ,MTW,BELARUS-2022.3,BELARUS-2022.3,EM00000012,0,0,0,0,0
